Rb1cc1
Pcmtd1
Adhfe1
Prex2
Tmem70
Gsta3
Lmbrd1
Dst
Plekhb2
Cox5b
Mrpl30
Eif5b
Tmem182
Mrps9
AI597479
Stat1
Hibch
Osgepl1
Coq10b
Aox1
Ndufb3
Stradb
Bmpr2
Fam117b
Nbeal1
Cd28
Ctla4
Fastkd2
Slc11a1
Bcs1l
Cyp27a1
Dnajb2
Des
Slc4a3
Kcne4
Mrpl44
Rpl19-ps1
Gm7592
Gm16094
Sp100
Cab39
Efhd1
Ugt1a1,Ugt1a10,Ugt1a2,Ugt1a5,Ugt1a6a,Ugt1a6b,Ugt1a7c,Ugt1a8,Ugt1a9
Cxcr7
Cops8
Scly
Gpc1
Rnpepl1
D2hgdh
Gm7889
Gm6086
Fam174a
Tnfrsf11a
Slc35f5
5430435G22Rik
Pm20d1
Slc41a1
Klhdc8a
Plekha6
Adipor1
Cacna1s
Kcnt2
Ivns1abp
Fam129a
Glul
Rfwd2
Mrps14
Myoc
Slc19a2
Brp44
Creg1
Tmco1
Rxrg
Rgs5
Arhgap30
Cd48
Pex19
Slamf9
Spna1
Efcab2
Cnst
Itpkb
Esrrg
Lpgat1
Lamb3
Plxna2
Mrpl15
Arfgef1
Slco5a1
Lactb2
Stau2
Jph1
Ogfrl1
1110058L19Rik
Gm10925
Bag2
Ankrd23
6330578E17Rik
Fhl2
Obfc2a
Mfsd6
1700019D03Rik
Asnsd1
Gm6644
Fam126b
Trak2
Ndufs1
Idh1
1110028C15Rik
Myl1
Abca12
Mreg
Tns1
Abcb6
Atg9a
Tuba4a
Ptprn
Gm15181
Epha4
Cul3
Col4a4
Asb18
Per2
Hdac4
Hdac4
Ndufa10
Hdlbp
St8sia4
Cdh19
Tmem177
Tmem37
Steap3
Insig2
Dars
Cd55
Pfkfb2
Mapkapk2
Cdk18
Tmcc2
Prelp
Btg2
Ppp1r12b
Lgr6
Rnpep
Timm17a
Ptprc
Nek7
Cfh
Rgs2
Prg4
1700025G04Rik
Ier5
Gm5532
Tor3a
Cacybp
Dars2
Prdx6
Fmo1
Fmo2
Prrx1
Atp1b1
Dcaf6
Uck2
Mgst3
Lrrc52
Rgs4
Ddr2
Uap1
Atf6
Gm2962
Fcgr2b
Fcgr3
Sdhc
Pcp4l1
Fcer1g
Ndufs2
Atp1a2
Dusp23
Cadm3
AI607873
Ifi204
Gm16340
Ifi203,Mndal
Ifi202b
Ifi205
Rgs7
Fh1
B230369F24Rik
Tfb2m
Adck3
Ephx1
Nenf
Hsd11b1
G0s2
Lrp11
Epm2a
Fuca2
Hivep2
Txlnb
Ifngr1
Map3k5
Mtap7
Hbs1l
Sgk1
Trdn
Sesn1
Ostm1
9030612E09Rik
Pdss2
Gm9803
Rtn4ip1
Nus1
Pln
Smpdl3a
P4ha1
Psap
Lrrc20
Ppa1
Sar1a
Rhobtb1
Slc16a9
Chchd10
Itgb2
Pttg1ip
Icosl
Cdc34
Gzmm
Bsg
Hcn2
Cfd
Hmha1
Gpx4
Atp5d
Ndufs7
Reep6
Apba3
Aes
Tcp11l2
Ric8b
Timp3
Nt5dc3
Pah
Arl1
Hal
Tmcc3
Dcn
Kitl
Rassf9
Ptprr
Ptprb
Best3
Lrrc10
Tmbim4
Gns
Avpr1a
Fam19a2
Agap2
R3hdm2
Cs
Ankrd52
A430046D13Rik
Itga7
6530403G13Rik,BC013529
Gm10828,Grm1
Gm8355
Pex7
Pde7b
E030030I06Rik
Enpp1
Hint3
Amd2
BC021785,G630090E17Rik
AI317395
Slc16a10
Amd1
Armc2
Foxo3
Lace1
1700021F05Rik
Qrsl1
Aim1
Man1a
Serinc1
Ddit4
2010107G23Rik
Vps26a
Srgn
2510003E04Rik
Mypn
Cisd1
Gm6419
Ddt,Gm20441,Gstt3
Gstt1
Pcnt
Pfkl
Aire
D10Jhu81e
Trappc10
Agpat3
Pdxk
Adamtsl5
Uqcr11
Lingo3
Slc39a3
Nfic
1190007I07Rik
Nuak1
Mterfd3
Syn3
Fabp3-ps1
Dram1
Chpt1
Slc25a3
Mrpl42
Nudt4
Rab21
Rab3ip
Lyz2
Mdm2
Irak3
Msrb3
Rassf3
Usp15
Tsfm
March9
Lrp1
Spryd4
Coq10a
Myl6b
Suox
Dgka
Dusp18
Gatsl3
Ap1b1
Ogdh
Ramp3
Adcy1
Akt2-ps
Ppp3r1,Wdr92
Glns-ps1
RP23-164N15.3
Efemp1
Mtif2
Psme4
Gpr75
Cpeb4
Hba-a1
Hba-a2
Trim7
Gfpt2
Tbc1d9b
Sar1b
Vdac1
Irf1
P4ha2
Acsl6
Fnip1
Gm12250
Igtp
Irgm2
Mrpl55
Lrrc48
4933439F18Rik
Smcr7
Dhrs7b
Map2k3
