Cspp1
Sulf1
Pi15
Arhgef4
Cnnm3
Npas2
Rpl31
Il1rl2
Nck2
Col3a1
Tmem194b
Gm8292
Spats2l
Bzw1
Gm10068
Nop58
Abi2
Eif4a-ps4
Zdbf2
Igfbp2
Ttll4
Stk11ip
Acsl3,Utp14b
Ptma
Sh3bp4
Lrrfip1
Ramp1
Capn10
Sept2
Cdh20
Gm3608
En1
Rpl28-ps1
Nucks1
Lrrn2
Pik3c2b
Kdm5b
Csrp1
Phlda3
Tnni1
Lad1
Tmem9
Kif14
Aspm
Arpc5
Rgs16
Rnasel
Stx6
BC026585
Gas5,SNORD24,SNORD44,SNORD74,SNORD75,SNORD77,SNORD78,SNORD79,SNORD81,Snord47
Cenpl
Nme7
Gpr161
Aldh9a1
Adamts4
Pigm
Igsf9
Tagln2
Exo1
Kif26b
Parp1
Lin9
Trp53bp2
Susd4
Tlr5
Dusp10
Nsl1
Ints7
Nek2
Rd3
Mybl1
Mcm3
Prim2
Bend6
Fam168b
Ankrd39
Sema4c
Rpl12-ps1
Rnf149
Col5a2
Gm5526
Slc40a1
Slc39a10
Rftn2
Gm11605
Fzd5
Rpl10a-ps1
Akr1cl
Gm10072
Erbb4
Bard1
Fn1
Igfbp5
Chpf,Obsl1
BC035947
Ap1s3
Fam124b
Slc19a3
Sphkap
Hjurp
Arl4c
Col6a3
Rab17
Kif1a
Pask
Dtymk
Bcl2
Dsel
Gli2
Actr3
Nckap5
Zranb3
Mcm6
Cxcr4
Mdm4
Zc3h11a
Atp2b4
Ppfia4
Tmem183a
Shisa4
Ipo9
Nav1
Nr5a2
Gm15453
Hmcn1
Rnf2
Rgl1
Dhx9
Soat1
Ralgps2
AI848100
Prrc2c
BC055324
Mpzl1
Dusp27
Pogk
Pbx1
Nuf2
Hsd17b7
Vangl2
Casq1
Adss
Hnrnpu
H3f3a
Lbr
Hlx
Mark1
Tgfb2
Kctd3
Vash2
Dtl
Hhat
Sertad4
Camk1g
Fbxo5
Plagl1
Reps1
Nhsl1
Fam54a
Moxd1
Ctgf
Epb4.1l2
Arhgap18
Ptprk
Hddc2
Hdac2
Lama4
Tube1
Rev3l
Wasf1
Mical1
Ppil6
Cd164
Bend3
Cd24a
Bves
Hace1
Slc35f1
Hsf2
Fabp7
Ccdc138
Pcbd1
Tbata
Dna2
Ctnna3
Rtkn2
Tmem26
Zwint
Lss
Ilvbl
Ptbp1
Cirbp
Efna2
Dazap1
Dot1l
2310050B05Rik
Tle2
Tdg
Chst11
1500009L16Rik
Igf1
Lta4h
Nr2c1
Btg1
Ppp1r12a
Pawr
E2f7
Csrp2
Nap1l1
Tspan8
4932442E05Rik
Wif1
Cdk4
Prim1
Pan2
Cnpy2
Smarcc2
1700052N19Rik
Akap12
Plekhg1
Ppp1r14c
Samd5
Phactr2
Gpr126
3110003A17Rik
Hebp2
Tcf21
Rps12
L3mbtl3
Gm10275
Cenpw
Ncoa7
Hey2
Dse
Marcks
Fig4
Cep57l1
Gm9855
Lin28b
Mcm9
Fam184a
Unc5b
Sgpl1
Adamts14
H2afy2
Col13a1
Tet1
Arid5b
Cdk1
Mif
Prmt2
Dip2a
Col6a2
Col6a1
Col18a1
Syde1
Gamt
Mex3d
Tcf3
Lmnb2
Sirt6
Aldh1l2
Ckap4
4930547N16Rik
Gas2l3
Nr1h4
Apaf1
Tmpo
Elk3
4932415G12Rik
Plxnc1
Socs2
Nts
Rps15a-ps1
Acss3
Nav3
Atxn7l3b
Cct2
Cpsf6
Nup107
Dyrk2
Cand1
Hmga2
Tbc1d30
Srgap1
Mbd6
Gpr182
Rpl41
Rps26
Cdk2
Gdf11
Patz1
Morc2a
Nipsnap1
Ppia
Gm11992
Upp1
Bcl11a
Rpsa-ps5
Rtn4
Nsg2
Sh3pxd2b
Ubtd2
4933415A04Rik,Ccnjl
Pwwp2a
Rnf145
Adam19
Zfp354a
Col23a1
Fstl4
Sept8
Kif3a
Mfap3
Hist3h2ba
Specc1
2410006H16Rik
Mmgt2
Pirt
Myh8
Myh10
1500010J02Rik
Aurkb
A030009H04Rik
Trp53
Sat2
Plscr3
Fam64a
Ankfy1
1200014J11Rik
Tax1bp3
Rtn4rl1
Ywhae
Blmh
Rab34
Spag5
Aldoc
Unc119
Suz12
Atad5
Zfp207
Tmem98
Ap2b1
Acaca
Ppm1d
Tbx2
Fam33a
Trim37
Mks1
Srsf1
Mmd
Mbtd1
B230206L02Rik
Lrrc59
Col1a1
Samd14
Cbx1
Arhgap23
Lasp1
B230217C12Rik
Ppp1r1b
Erbb2
Thra
Cdc6
Rara
Fkbp10
Aoc3
BC030867
Fzd2
Adam11
Myl4
Tanc2
Kcnh6
Map2k6
Sox9
D11Wsu47e
Rpl38
Ttyh2
Cdr2l
Unk
Fam100b
Sept9
Birc5
Cbx2
Slc26a11
A730011L01Rik
Lrrc45
Slc16a3
Tbcd
Tug1
Ewsr1
Znrf3
Polm
Pold2
Myl7
Purb
Purb
Gm11974,SNORA9
Tns3
Fignl1
Ddc
Grb10
2810442I21Rik
Etaa1
Meis1
5730522E02Rik
Ccdc104
Npm1
Ccdc99
Wwc1
Hmmr
Pttg1
Cnot6
Maml1
Zfp354c
Hnrnpab
N4bp3
Rad50
Sparc
Hand1
Gm12245
Gemin5
Shmt1
Gm16515
Usp22
Mapk7
BC046404
Myocd
Cntrob
Chd3
Kdm6b
Efnb3
Atp1b2
Mpdu1
Eif4a1
Polr2a
Tmem102
Acap1
2810408A11Rik
Bcl6b
Pfn1
Dhx33
6330403K07Rik
Smtnl2
Gsg2
Dph1,Ovca2
Rph3al
Nxn
Traf4
Nek8
Tmem97
Ksr1
Wsb1
Crlf3
Slfn9
Mmp28
Appbp2
Brip1
Ypel2
Prr11
Ppm1e
Rad51c
Cacna1g
Mycbpap
Itga3
Ngfr
Igf2bp1
Pcgf2
Rpl23
Pgap3
Top2a
Smarce1
Brca1
Etv4
Sost
Fam171a2
Gjc1
Arhgap27
Cdc27
Limd2
Icam2
Cacng4
Sdk2
C630004H02Rik
Nt5c
Hn1
Galk1
H3f3b
Rnf157
Srsf2
Tk1
Azi1
2810410L24Rik
Alyref
Pycr1
Fasn
Ccdc57
Asxl2
Dnmt3a
Atad2b
Sdc1
Fam49a
B430203G13Rik
5730507C01Rik
2410018L13Rik
Grhl1
Klf11
Rrm2
Kidins220
Pxdn
Lamb1
Etv1
G2e3
Fancm
Dact1
Lrrc9
Hif1a
Plekhh1
Gm17591
Srsf5
Smoc1
Ttc9
Sipa1l1
Rgs6
2410016O06Rik
Acot2
Acot1
Mfsd7c
Vash1
Flrt2
Ttc8
Vrk1
Gm17052
Cyp46a1
Evl
Meg3,Mir1906-1,Mir770
